"Data Source","World Development Indicators",

"Last Updated Date","2019-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.3930206298828","","100","99.63486","99.07003","","","","","100","","","","","","","","","","","",
"Afghanistan","AFG","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","67.0510482788086","","","88.9497680664063","91.8069229125977","","","","","","","91.7139205932617","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.77393","","","","","","","","","","","",
"Albania","ALB","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.0570831298828","","","","","96.90948","","","","","","98.9542","98.07733","98.50327","97.8637","99.10345","99.50483","100","99.78225","99.05168","98.28624","97.95866","98.57902","","",
"Andorra","AND","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","72.4799270629883","74.9793701171875","79.466682434082","75.3964004516602","78.3528289794922","69.9880828857422","77.6100997924805","78.8667831420898","79.6934432983398","82.0986709594727","83.5031890869141","83.3385162353516","86.1627426147461","85.8486709594727","85.8964309692383","86.7900695800781","88.6699676513672","87.0634078979492","89.849006652832","89.4586486816406","89.5297088623047","89.5666427612305","89.2991027832031","89.4435272216797","89.3288497924805","89.2272415161133","90.4229125976563","90.0622634887695","91.8398971557617","92.2288131713867","92.0940628051758","91.8177871704102","91.0919418334961","91.1900863647461","91.3295516967773","91.2592163085938","91.3043518066406","90.88085","90.49448","87.26139","88.16397","88.19337","88.64357","89.71471","90.41339","","",
"United Arab Emirates","ARE","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","84.6807632446289","99.5826416015625","85.0663681030273","96.0285568237305","93.4590225219727","","93.4735107421875","","","98.2274017333984","98.5970687866211","94.6190872192383","96.9865875244141","97.5401077270508","99.4176635742188","100","99.1615676879883","97.6171035766602","92.9414901733398","96.0513000488281","98.9933395385742","97.7663497924805","","97.6510620117188","","","98.4664764404297","100","98.04543","96.14125","99.54714","99.04643","100","100","","","95.52038","91.77475","98.8909","98.10216","100","","","","","","",
"Argentina","ARG","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","25.224910736084","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.4127502441406","96.4611282348633","95.43516","95.26872","94.11092","93.48618","91.83626","90.90037","90.08647","90.47356","90.79982","91.91828","92.51746","93.38344","93.82696","94.75433","94.93167","98.99978","100","","","",
"Armenia","ARM","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.21265","98.81746","99.49977","100","98.68379","100","","","","97.71385","","96.82392","100","98.18142","98.15183","97.8051","","",
"American Samoa","ASM","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","",
