"Data Source","World Development Indicators",

"Last Updated Date","2019-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.7969207763672","96.51617","97.97287","100.52068","99.09117","97.25244","95.94176","97.35637","102.55975","94.64913","96.73602","95.82354","97.02788","111.1598","","","","","","","",
"Afghanistan","AFG","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","8.30642032623291","9.31527042388916","10.3027601242065","10.7758302688599","10.9106903076172","11.3727102279663","12.2764902114868","13.1315603256226","13.8217601776123","","16.7642707824707","19.3281402587891","10.5939302444458","","12.3710803985596","13.1000995635986","12.0980501174927","","13.2018404006958","12.6558103561401","10.8499603271484","15.5900897979736","","15.4239702224731","21.4419803619385","20.8224506378174","","","","","","12.32462","","12.54889","17.56808","18.61681","28.25587","28.49334","38.19398","44.42038","50.56725","51.75691","53.61805","53.57513","52.5829","52.59281","50.6454","53.79764","","",
"Angola","AGO","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","5.76747989654541","6.34224987030029","7.05664014816284","","","","","8.11106014251709","","10.6839399337769","13.7651395797729","9.6893196105957","8.70720958709717","10.657039642334","8.98985004425049","10.1296396255493","9.74631023406982","8.17842960357666","9.05875015258789","8.40345001220703","8.93437004089355","10.0993299484253","","","","","","10.8192796707153","10.7474298477173","12.26628","13.85372","14.98359","","","","","","21.28946","22.69255","26.25922","26.48254","","","","","50.67148","","","",
"Albania","ALB","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","","","","","","84.9742584228516","","86.5098266601563","88.2552490234375","90.1937103271484","91.1864166259766","87.0455932617188","82.0011215209961","82.2495269775391","85.2829666137695","88.3924865722656","87.8321762084961","88.6035690307617","88.8032989501953","90.0817413330078","90.8936309814453","77.7147598266602","70.3351211547852","68.7290573120117","68.6784896850586","67.8675537109375","69.3661804199219","71.313606262207","71.5446701049805","71.07808","72.53716","72.86855","75.24344","74.80221","77.90939","79.18955","82.20059","84.12509","85.69499","88.10389","89.79816","92.28983","96.25608","97.68487","97.38848","95.715","95.26589","95.43233","",
"Andorra","AND","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","15.3682899475098","14.7160596847534","13.816309928894","17.3354091644287","25.9345302581787","34.1382713317871","","","","","","","49.4399681091309","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","26.07958984375","26.2357807159424","26.6895904541016","27.6599006652832","28.6341495513916","30.1906299591064","31.9216499328613","33.9491500854492","35.9054985046387","37.4706993103027","38.7189903259277","39.6199913024902","41.2359313964844","42.4593200683594","43.8735809326172","45.4885902404785","47.5005416870117","48.7597007751465","49.2945785522461","50.0425987243652","52.8991317749023","52.9785118103027","51.7615013122559","52.4368591308594","54.4559707641602","54.4449310302734","54.3928108215332","55.753288269043","57.2093086242676","58.7499885559082","60.0535011291504","61.5170516967773","62.5932006835938","64.3011932373047","65.9691162109375","65.8275604248047","65.4996566772461","64.3605117797852","64.719970703125","66.2956008911133","67.38104","69.77822","70.77455","69.54931","70.08743","70.65734","71.13625","71.9075","72.33986","",
"United Arab Emirates","ARE","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","19.3324394226074","20.2607707977295","19.4305801391602","17.1192302703857","20.2592506408691","29.1827297210693","30.6606292724609","32.2385406494141","37.2816696166992","44.6672592163086","52.5365715026855","55.8109588623047","59.1276893615723","63.5596389770508","66.2567367553711","67.4188766479492","59.9504699707031","57.7614784240723","58.3551483154297","60.8287315368652","65.489990234375","68.1939468383789","72.1005935668945","77.7250595092773","81.7537384033203","","79.0677871704102","79.1750793457031","","","","","","","","","","","","","","","","","","95.34329","104.9479","","",
"Argentina","ARG","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","44.8198509216309","45.8276710510254","47.548999786377","49.9117698669434","52.633129119873","54.194278717041","55.6360092163086","55.5457000732422","55.4494781494141","55.268669128418","56.1693916320801","57.4266700744629","59.1698799133301","59.7823791503906","65.279541015625","70.2124099731445","70.0919876098633","69.8156280517578","70.3232192993164","","71.4895782470703","72.3127899169922","","","69.6454315185547","","78.870849609375","75.3427581787109","81.2585372924805","92.6051635742188","95.93661","96.84547","95.8991","94.96169","94.50717","92.76067","91.81353","91.91613","93.23705","96.61971","99.50126","101.535","103.4765","105.0414","106.0356","106.9465","108.4623","108.7336","","",
"Armenia","ARM","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.1037063598633","92.3268585205078","94.7446975708008","96.6290664672852","","93.3364028930664","93.2361602783203","80.4360275268555","80.0566787719727","92.15199","88.28202","","","89.34573","92.05428","94.94133","96.42764","94.97048","100.12562","104.7133","93.13488","","85.89755","85.88351","86.00589","","","83.15068","",
"American Samoa","ASM","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","","84.6630096435547","59.8538398742676","85.4032669067383","81.5058898925781","87.2125701904297","89.5308303833008","75.5961837768555","","","","","","","","","","","","","","97.5792999267578","","","","","","","","79.66178","","","","","","","108.24472","118.12705","116.04285","112.7958","110.9229","109.5244","","106.9801","108.2302","","109.2087","111.196","",
"Australia","AUS","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","81.0933837890625","","","","","","","","","","","","","","","","","","","","","","","134.354751586914","132.618270874023","143.233871459961","148.636001586914","152.935974121094","","","","","","","","","","","","","","","","","","157.1677","153.0132","150.3115","","",
"Austria","AUT","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","88.6934432983398","","","","","90.7383804321289","","","","","92.3818893432617","91.1852493286133","92.1024169921875","91.9762878417969","93.785888671875","97.1035919189453","97.8842620849609","98.5526504516602","99.0470504760742","101.1708984375","102.799652099609","104.805870056152","106.29354095459","106.824638366699","106.58470916748","105.650329589844","105.122970581055","97.7447280883789","98.4440994262695","98.69606","98.9575","99.02117","99.4792","99.52356","100.35335","100.32996","99.70887","99.42073","99.64985","98.80721","98.06147","97.84332","99.19738","99.66308","100.321","100.963","100.4552","","",
"Azerbaijan","AZE","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","","","","","","","","","","","92.8227386474609","","","","","96.0417327880859","","","95.6384811401367","91.7173690795898","91.1750869750977","91.9446487426758","91.3004913330078","87.7137603759766","85.3741226196289","75.4991607666016","73.8493423461914","","","","","","","","","","","","","","","","","","","","","94.48008","",
"Burundi","BDI","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","1.78828001022339","1.85637998580933","1.39655005931854","1.73365998268127","2.10705995559692","2.27902007102966","2.2569100856781","2.40473008155823","2.52465009689331","2.56963992118835","2.93643999099731","3.1243200302124","3.02377009391785","3.22394990921021","3.5754599571228","3.82749009132385","4.2297101020813","4.44977998733521","4.89640998840332","5.22075986862183","5.86264991760254","6.24163007736206","6.91802978515625","","","","","","","","10.10022","10.43821","10.55941","11.96859","12.98393","14.13834","15.08487","","20.12478","23.29063","26.1225","28.71599","33.41147","39.41126","44.34693","47.47817","49.25443","48.46502","",
"Belgium","BEL","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","81.9464797973633","83.6676788330078","84.2145462036133","84.6031875610352","83.9317474365234","83.6476364135742","84.8081436157227","86.9056930541992","88.1034164428711","88.9119873046875","90.0913162231445","92.0806503295898","92.3989181518555","95.3045806884766","97.7485122680664","99.4001007080078","99.7516632080078","100.671768188477","101.088516235352","101.389373779297","101.677047729492","102.746490478516","141.399917602539","144.506286621094","146.503295898438","146.362014770508","","","141.85725402832","144.87628","153.80124","155.90697","158.63028","153.40534","159.89013","161.01921","159.51427","158.74341","156.63837","156.8615","156.6332","157.7948","160.9192","162.2993","163.9347","161.0332","158.5419","","",
"Benin","BEN","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","4.31045007705688","5.20689010620117","6.41517019271851","7.17118978500366","8.33323001861572","8.67385005950928","9.2548999786377","10.139479637146","10.9075899124146","12.4192495346069","15.4516897201538","18.4874897003174","21.2241706848145","20.1487197875977","18.991979598999","16.3408794403076","15.1324501037598","","","","","","","","","","","","21.0042896270752","21.83777","23.67024","25.66652","27.03112","28.8886","","","","","","","49.12759","","55.96562","56.23654","58.84676","59.04252","","","",
