"Data Source","World Development Indicators",

"Last Updated Date","2019-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.0722198486328","29.65051","29.05586","26.68902","26.752","26.30441","31.68347","30.90319","33.91582","35.24049","35.36232","37.34573","38.72564","37.76113","16.19583","16.40542","15.27177","15.59921","","","",
"Afghanistan","AFG","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","0.768769979476929","0.923879981040955","0.951129972934723","1.09458994865417","1.02260005474091","1.11731994152069","1.26757001876831","1.40822005271912","1.80833005905151","1.9456399679184","","","1.72288000583649","","","","2.1554000377655","1.70773994922638","","","2.21141004562378","","","","","","","","","","","","","1.20234","1.19937","","","","","3.77498","","3.62226","","","8.23068","","","","9.68642","",
"Angola","AGO","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.583549976348877","0.548280000686646","0.55307000875473","0.545040011405945","0.505010008811951","","","","","","0.549719989299774","0.498290002346039","","","0.71336","2.635","1.97574","2.43892","2.37982","","","","","6.1303","","8.83833","","8.40094","9.33626","","","",
"Albania","ALB","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","13.9081401824951","14.9279098510742","","","","","","5.83141994476318","","","5.18940019607544","","5.92611980438232","6.55998992919922","7.02590990066528","7.22121000289917","7.32686996459961","7.73795986175537","8.14828014373779","8.36635971069336","8.85533046722412","9.28732013702393","11.1776103973389","10.6335802078247","10.2028198242188","10.9394502639771","12.6997203826904","13.5501699447632","14.7477703094482","15.53661","15.90463","16.31143","16.65724","19.89044","23.18983","26.63714","30.68713","32.0928","33.38555","44.54925","49.8787","59.25201","64.63443","65.78297","62.00762","58.38185","57.37526","54.96133","",
"Andorra","AND","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","5.96426010131836","5.98206996917725","6.2343602180481","6.59680986404419","7.00106000900269","7.55048990249634","8.2154598236084","8.86437034606934","9.30852031707764","9.35179042816162","9.69575977325439","10.2752103805542","10.6437702178955","10.8129396438599","11.0858001708984","11.0723695755005","11.3694200515747","11.3963804244995","11.3813695907593","11.0349702835083","11.0605401992798","10.7758502960205","11.42809009552","12.347279548645","12.9927701950073","13.8589200973511","14.7840099334717","15.7599897384644","16.530460357666","17.9354591369629","18.1847896575928","18.7884998321533","19.6000804901123","19.6064300537109","20.7749290466309","21.8363990783691","22.3438892364502","22.9466800689697","23.7018299102783","24.397590637207","25.06339","24.50504","25.87412","27.43039","28.61852","30.13177","30.89846","31.77963","32.21509","",
"United Arab Emirates","ARE","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","13.2443504333496","15.3060302734375","16.4837608337402","19.6180801391602","22.7486896514893","26.975980758667","27.0718193054199","24.0776195526123","21.3801898956299","22.2299098968506","21.7346897125244","23.1026306152344","23.8299999237061","24.8389301300049","28.6764698028564","35.4959487915039","37.424991607666","39.2206497192383","","","","38.1191101074219","","","37.0013313293457","","","","46.9607009887695","48.8317184448242","53.96481","59.01155","62.74873","65.17626","65.48537","63.96667","66.96473","66.41163","68.05695","70.20646","73.2314","76.2974","77.44629","78.2239","80.99581","84.002","87.21345","89.95852","","",
"Armenia","ARM","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","17.5995998382568","","18.7987098693848","20.4358997344971","23.2048206329346","25.3567008972168","25.3421192169189","23.0276393890381","19.1243095397949","19.0821399688721","16.938570022583","22.7202301025391","33.5735816955566","35.2124099731445","35.54979","33.5453","36.14686","37.21888","37.88314","39.54677","43.11535","45.93094","48.48933","51.33459","52.98915","53.33778","46.15803","45.73739","47.08219","46.5218","51.08019","52.25153","54.57048","",
"American Samoa","ASM","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
