"Data Source","World Development Indicators",

"Last Updated Date","2019-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.1100006103516","","","","","","","","","59.0999984741211","","","","","","","62.4199981689453","","","57.1300010681152","58.0999984741211","","","","","","","","",
"Afghanistan","AFG","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.6875991821289","","","","46.1618995666504","","","","","42.0145988464355","","",
"Angola","AGO","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.1164016723633","","","","","64.4817962646484","69.9800033569336","72.0800018310547","","","40.0400009155273","","","","","",
"Albania","ALB","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.2999992370605","","","40.9477996826172","46.2453994750977","47.4730987548828","47.4259986877441","51.8573989868164","49.3712005615234","44.1015014648438","44.3300018310547","46.1500015258789","","50.2900009155273","","",
"Andorra","AND","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.1273260350144","44.5350260566518","42.1629862007651","","43.2713078472577","","","41.196898610304","","","","","",
"United Arab Emirates","ARE","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","","","","","","","","","","","","","","","","71.9899978637695","","","","","74.3600006103516","","","","","","","","","","","","","","","73.8399963378906","","","","","","","","","","75.0899963378906","","","69.6500015258789","69.3528289794922","","","","","","","","78.7854995727539","79.2009963989258","",
"Argentina","ARG","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.5999984741211","47","47.2999992370605","47.0999984741211","44.7999992370605","43.7000007629395","43.7000007629395","46.2000007629395","46.7000007629395","46.7000007629395","49.5","46.4000015258789","47.5999984741211","51.9000015258789","53.5667991638184","54.4338989257813","55.5676002502441","55.7999992370605","55.6920013427734","55.5256996154785","55.5443992614746","56.2969017028809","56.0056991577148","55.7052993774414","55.1234016418457","","","53.899299621582","54.1002006530762","",
"Armenia","ARM","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.5999984741211","","","","","","","47.7492980957031","43.0535011291504","42.8363990783691","50.6181983947754","48.4347991943359","44.7467994689941","49.804500579834","51.9935989379883","50.9171981811523","50.0220985412598","50.0519981384277","","",
"American Samoa","ASM","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","","","","","","","","","","","","","","","49.939998626709","","","","","","","","","","","","","","","","","","","","","","","","","","49.25","","","","","53.9500007629395","","","","","47.7900009155273","","","","","","","","","",
