Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan, World,Export,  All Products,Export (US$ Thousand),,,,,,,,,,,,,,,,,,,,,540065.594,403441.006,388483.635,375850.935,428902.71,514972.983,570534.007,571404.967,596455.337,
Albania, World,Export,  All Products,Export (US$ Thousand),,,,,,,,,211140.4,137681.008,207653.802,351097.824,261475.781,304930.699,330241.497,447220.546,602653.356,658233.171,792629.671,1077690.359,1354921.653,1087914.902,1549955.724,1948207.305,1967918.947,2331521.928,2430723.644,1929657.032,1962117.416,2261555.721
Algeria, World,Export,  All Products,Export (US$ Thousand),,,,,11136801.79,10097665.02,8593806.336,9356680.192,11099222.02,13894123.52,9838587.904,12525276.63,22031287.64,19147619.19,18832409.26,24653655.79,32076791.7,46001735.48,54612721.78,60163160.35,79297591.51,45193920.24,57050973.57,73436306.09,71865748.99,65998137.6,60387689.3,34795951.49,29992101.47,35191117.42
Andorra, World,Export,  All Products,Export (US$ Thousand),,,,,,,,47803.14,46242.984,48000.384,57858.896,42680.6,45329.043,52421.237,63752.333,90155.985,123209.544,,165379.94,150846.157,139099.346,100477.876,92318.968,114022.713,105949.644,98978.051,94780.86,,,
Angola, World,Export,  All Products,Export (US$ Thousand),,,,,,,,,,,,,,,,,,,,44177783.07,,40639411.73,52612114.76,66427390.22,70863076.41,67712526.55,58672369.19,33047778.91,,
Anguila, World,Export,  All Products,Export (US$ Thousand),,,,,,,,,,,,,4001.297,3200.931,4344.499,4238.995,5748.088,,12237.708,9185.3,11474.54,,,,,,,,,
Antigua and Barbuda, World,Export,  All Products,Export (US$ Thousand),,,,,,,,,,,,14974.068,22519.698,,,,,120636.13,,98628.077,,205701.562,34828.29,29028.024,29006.273,32922.552,23082.464,26045.541,61043.254,62390.60271
Argentina, World,Export,  All Products,Export (US$ Thousand),,,,,,13117745.15,15838651.39,20962574.34,23809628.16,26430820.35,26433671.17,23332660.08,26341029.19,26610055.34,25709371.11,29938752,34575705.52,40106386.09,46546224.08,55779579.84,70018850.81,55672118.6,68174446.58,82981091.28,79982379.58,75962981.36,68407381.83,56787982.27,57733350.41,58384194.97
Armenia, World,Export,  All Products,Export (US$ Thousand),,,,,,,,,,215273.552,,231666.237,294102.939,335831.375,527203.711,670474.788,722911.5,936977.335,1003961.105,1121222.464,1055012.744,683989.374,1011424.747,1306576.403,1428120.692,1467799.672,1490190.146,1482667.349,1807789.51,2144962.97
Aruba, World,Export,  All Products,Export (US$ Thousand),,,,,,,,,,,,,172999.09,148856.14,128258.862,82190.5,79682.025,106204.9,108964.805,97892.753,100869.319,135747.078,124523.218,151359.633,173060.835,167761.27,116214.26,79882.205,95029.332,89358.74113
