Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2000 [YR2000],1998 [YR1998],1996 [YR1996]
Afghanistan,AFG,Control of Corruption: Number of Sources,CC.NO.SRC,10,10,10,11,11,11,10,9,9,8,7,6,7,5,5,3,2,2,2,2
Afghanistan,AFG,Control of Corruption: Estimate,CC.EST,-1.496648,-1.517341,-1.526352,-1.341994,-1.354784,-1.436761,-1.419888,-1.579179,-1.635723,-1.534796,-1.638287,-1.587331,-1.43289,-1.443609,-1.345281,-1.351042,-1.263366,-1.29538,-1.180848,-1.291705
Afghanistan,AFG,Control of Corruption: Percentile Rank,CC.PER.RNK,4.326923,3.846154,3.365385,6.25,5.288462,1.895735,2.369668,0.9478673,0.952381,0.9569378,0.4854369,0.9708738,3.902439,2.439024,5.853659,5.050505,5.050505,5.076142,9.793815,4.301075
Afghanistan,AFG,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,0,0,0,1.442308,0.4807692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,9.615385,9.615385,9.615385,12.5,12.5,9.952606,11.84834,5.687204,3.809524,7.655502,4.854369,7.281553,12.19512,13.17073,14.14634,18.18182,31.81818,29.44162,31.4433,27.41936
Afghanistan,AFG,Control of Corruption: Standard Error,CC.STD.ERR,0.1572958,0.1629309,0.1657726,0.1622236,0.1611888,0.1606806,0.1868078,0.194524,0.1955542,0.2016608,0.219334,0.2291194,0.2063379,0.207736,0.2143146,0.2753387,0.3599147,0.3562942,0.3301791,0.340507
Afghanistan,AFG,Government Effectiveness: Estimate,GE.EST,-1.457285,-1.33461,-1.226363,-1.322968,-1.331396,-1.38493,-1.36014,-1.448488,-1.454683,-1.483899,-1.496089,-1.403352,-1.430343,-1.210829,-0.8940507,-1.082488,-1.567973,-2.231651,-2.135942,-2.175167
Afghanistan,AFG,Government Effectiveness: Number of Sources,GE.NO.SRC,8,8,8,8,8,8,8,7,7,7,6,5,6,4,4,2,2,1,1,1
Afghanistan,AFG,Government Effectiveness: Percentile Rank,GE.PER.RNK,7.692307,9.134615,9.615385,8.173077,8.173077,7.582938,6.635071,4.739336,4.784689,3.827751,4.368932,5.339806,5.365854,9.803922,17.24138,11.73469,2.040816,0,0,0
Afghanistan,AFG,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,1.442308,3.846154,4.326923,1.442308,1.442308,0.4739336,0.4739336,0.9478673,0.4784689,0,0.4854369,0.4854369,0,1.960784,6.896552,1.530612,0,0,0,0
Afghanistan,AFG,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,12.5,16.34615,18.75,17.30769,16.34615,14.69194,16.58768,14.21801,13.39713,11.96172,13.59223,17.47573,15.12195,22.54902,37.43842,32.14286,9.183674,2.564103,2.590674,1.639344
Afghanistan,AFG,Government Effectiveness: Standard Error,GE.STD.ERR,0.2380511,0.2282782,0.2218593,0.2311462,0.2315406,0.2208426,0.2255658,0.238757,0.235486,0.2398031,0.2717778,0.3061791,0.257668,0.2222518,0.2390624,0.3067439,0.2625481,0.3430663,0.310279,0.1876176
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.74673,-2.800609,-2.671054,-2.571222,-2.411068,-2.519349,-2.418561,-2.50206,-2.579152,-2.712689,-2.690477,-2.410581,-2.221302,-2.070934,-2.296179,-2.197809,-2.035389,-2.440187,-2.422996,-2.414042
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,6,6,6,6,6,6,5,4,4,4,3,3,4,4,4,2,2,2,2,2
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,0.4761905,0.4761905,0.952381,0.952381,2.857143,1.421801,1.895735,1.421801,1.421801,0.4739336,0.4807692,1.449275,1.449275,2.427185,1.941748,2.01005,1.587302,0.5291005,0.5319149,2.12766
Afghanistan,AFG,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,0,0,0,0,0,0,0,0,0,0,0,0,0.4830918,0.4854369,0.4854369,0,0,0,0,0
