Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan, World,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,,3019860.129,3336434.781,5154249.867,6390310.947,6204984.101,8554413.749,7697178.17,7722865.049,6534140.413,
Albania, World,Import,  All Products,Import (US$ Thousand),,,,,,,,,938481.792,629026.304,841256.184,1154351.169,1089467.879,1330631.066,1503685.206,1864328.86,2300168.341,2614347.012,3057408.426,4200864.046,5250490.022,4548287.875,4602774.967,5395853.069,4879829.648,4880593.254,5229972.238,4320219.367,4669289.913,5717083.28
Algeria, World,Import,  All Products,Import (US$ Thousand),,,,,8647816.192,8785274.88,9598673.92,10782432.26,9105595.392,8688356.352,9403430.912,9161845.368,9152077.226,9945719.404,12009774.69,13545429.53,18303023.34,20356879.69,21455854.55,27631203.95,39474721.57,39258326.94,40999891.12,47219730.32,50369390.59,54909973.27,58618080.19,51803071.09,47090683.59,46053015.99
Andorra, World,Import,  All Products,Import (US$ Thousand),,,,,,,,1025480.576,1061358.4,1061291.648,1064134.784,1078680.594,1011959.615,1042065.997,1199570.945,1513115.27,1761745.343,,1787807.655,1925764.487,1939929.69,1610110.578,1540506.337,1617690.977,1417733.795,1487194.105,1556048.54,,,
Angola, World,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,11094843.41,,23918854.36,18143268.91,20790996.04,28722984.06,26756062.99,28753499.33,16757790.05,,
Anguila, World,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,94514.171,77704.66,69893.421,76776.651,102438.551,,174899.062,247904.776,271744.4,,,,,,,,,
Antigua and Barbuda, World,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,356003.488,338187.415,,,,,525205.964,670748.045,573078.069,,699056.325,501230.695,471410.407,339511.614,343109.397,551751.293,465127.071,490525.305,629819.1719
Argentina, World,Import,  All Products,Import (US$ Thousand),,,,,,16772908.03,21581053.95,20121640.96,23761555.46,30349402.11,31377246.21,25507944.03,25280463.49,20321127.1,8989546,13850774,22445246.58,28688637.65,34153541.76,44707041.81,57461774.37,38786161.79,56792378.21,73960656.1,67973971.89,74441745.28,65229691.99,59756514.26,55609517.49,66899299.59
Armenia, World,Import,  All Products,Import (US$ Thousand),,,,,,,,,,754439.68,,810846.494,840307.429,837467.564,962930.979,1236583.577,1349761.91,1691542.087,2194358.169,3052565.547,4101217.006,3174631.229,3781767.406,3979934.781,4266895.65,4256217.854,4159517.448,3256964.792,3218457.706,3893454.903
Aruba, World,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,835229.439,836234.454,842875.655,846620.627,876171.743,1030046.306,1041334.001,1113876.882,1112619.693,1149199.674,1071033.527,1284948.78,1259804.184,1303316.843,1284149.421,1165014.285,1116855.39,1188584.683
Australia, World,Import,  All Products,Import (US$ Thousand),33025740.13,39839624.98,38632769.85,38456377.34,40598173,42366602.46,49918035.76,57422799.12,61400054.06,61833388.14,60774215.64,65198357.22,71555125.64,64319977.35,73025896.96,89065101.56,109482715.2,125221245.3,139354165,165471525.3,200617274.5,165601136.4,201703333.7,234205823.2,250464794.4,232481271.3,227544231.3,200113780,189406027.9,228441736.9
Austria, World,Import,  All Products,Import (US$ Thousand),,,,,,,55290413.06,66405670.91,67283750.91,63630995.46,67098177.54,66003473.39,68373911.91,70491571.06,72796195.96,91595357.83,111261147.2,119950092,134356314.4,156055652.7,175025754.1,136418429.2,150592664.1,182349824,169663240.6,173357539.4,172447474,147935123.9,149987386.1,166475081
Azerbaijan, World,Import,  All Products,Import (US$ Thousand),,,,,,,,,960603.264,794337.92,1076489.216,1035652.323,1172038.21,1430877.454,1665564.219,2626427.367,3515861.062,4211207.311,5266743.705,5712178.288,7161847.499,6119060.204,6596796.766,9732869.048,9641723.771,10763391.51,9178588.183,9211125.764,8515807.069,8766505.242
"Bahamas, The", World,Import,  All Products,Import (US$ Thousand),,,,,,,,,,1621739.008,1815543.296,1750850.304,2002171.986,1927317.261,1838254.314,1873809.029,1976138.649,2566676.925,2984310.381,3102601.552,3229968.663,2698526.468,2861948.147,3410316.267,3646505.184,3365293.982,3790365.67,3161314.272,,
